state,state_name,outcome,n_obs,beta2,beta2_se,beta2_pval,beta3,beta3_se,beta3_pval,beta0,beta1,rsquared
AK,Alaska,synthetic_opioid_deaths,47,38.78942178058267,9.448413541330833,4.036334484402833e-05,-0.6782468876898945,0.2689366467194558,0.011670369078134691,10.426225234619377,0.14676746611037117,0.6228982841842394
AZ,Arizona,synthetic_opioid_deaths,31,-244.68938973998684,17.178750841939593,4.9042237165980355e-46,6.4540141407581775,0.18479452841405605,3.0656376255102107e-267,-244.41628322997852,14.64720944099931,0.9911859012839661
CT,Connecticut,synthetic_opioid_deaths,60,280.5230255839824,45.816723633165964,9.199057109276009e-10,-9.163070077864186,1.4392420231183563,1.9327147903931946e-10,14.951724137931865,19.69988876529468,0.9921843690437676
DC,District of Columbia,synthetic_opioid_deaths,60,205.74549499443822,53.43731618424554,0.00011801112956826225,-6.802892102335866,1.6635346511533915,4.3245292893570823e-05,-35.034482758620385,7.382869855394829,0.910676346288468
GA,Georgia,synthetic_opioid_deaths,53,165.0795195510754,63.69722576183895,0.009552297430632635,-2.3801960456699858,2.7707670643410554,0.39031918334052973,273.0385375494066,0.6867588932785965,0.5877547561684657
HI,Hawaii,synthetic_opioid_deaths,29,-21.611180124223612,8.128015385149371,0.007840767930046672,0.5984472049689442,0.15219125272986453,8.417023879770019e-05,14.782608695652005,-0.14130434782608253,0.8448613176644408
IA,Iowa,synthetic_opioid_deaths,58,54.29676528289121,16.25086977484321,0.000834289590474439,-1.2596808598586278,0.35411343350801117,0.00037471378276124844,30.70672007120635,1.2654650645304737,0.8745351365690794
IL,Illinois,synthetic_opioid_deaths,58,643.8563324328586,203.5581137920345,0.0015614701286078023,-19.323634726415484,5.343067414054702,0.0002985202272625875,-97.80049261083603,39.531198686371006,0.9741903125861088
MA,Massachusetts,synthetic_opioid_deaths,49,838.3942704369387,161.01944823268607,1.9213649416983877e-07,-30.52865757274023,6.1481755428557125,6.853050109294101e-07,522.9473684210504,39.210526315788236,0.9382416014172317
MD,Maryland,synthetic_opioid_deaths,60,1217.0028921023363,168.5683833008305,5.212572317745884e-13,-33.56751946607304,5.804343160649439,7.330469588012993e-09,-67.78160919540002,47.57730812013316,0.9754157723440945
ME,Maine,synthetic_opioid_deaths,60,225.72258064516143,29.374609632207182,1.5386574485952608e-14,-6.736818687430409,0.696700847341223,4.0596067150797437e-22,43.89195402298883,6.280088987764124,0.9546728550541396
NC,North Carolina,synthetic_opioid_deaths,60,850.6117167222844,137.38732110376293,5.965459735705899e-10,-14.992436040044224,2.766128146904229,5.9596446218753256e-08,97.3494252873576,22.12369299221335,0.9811910147848585
NH,New Hampshire,synthetic_opioid_deaths,60,240.50582128290694,34.981284230055046,6.1871971971111445e-12,-7.2507230255838975,1.07053807738855,1.2616451539685742e-11,211.50114942528765,5.462291434927635,0.899316358295665
NM,New Mexico,synthetic_opioid_deaths,60,-70.55854653318508,19.63522000942967,0.0003263049891154607,1.9850945494994283,0.5725262099360111,0.0005258021889267183,49.74712643678164,0.7023359288098008,0.8817118705069693
NV,Nevada,synthetic_opioid_deaths,60,-39.35750834260294,4.590063877594761,9.951712589050819e-18,1.2440489432702924,0.11204342134310534,1.2092951756174496e-28,26.124137931034525,0.9984427141268132,0.986195511822981
NY,New York,synthetic_opioid_deaths,60,1495.0954393770858,69.88934387927287,1.5751484181828096e-101,-45.554393770856045,2.4006817967370164,2.7136031517601766e-80,119.85977011494452,40.08431590656248,0.9903709229506885
OH,Ohio,synthetic_opioid_deaths,57,3620.713850282711,387.3582392546054,9.000103835295935e-21,-108.43994534695254,11.360327774089376,1.354599082054434e-21,217.4481074480943,91.83638583638562,0.9586964294371909
OK,Oklahoma,synthetic_opioid_deaths,60,63.706933629959174,15.65622648594925,4.7192729266736644e-05,-2.3259176863181077,0.36380315130417396,1.622995123879316e-10,79.08735632183914,0.8696329254727313,0.8081308589508287
OR,Oregon,synthetic_opioid_deaths,60,61.215127919911055,14.734419436408782,3.2590458120455604e-05,-0.7127919911012046,0.2704926829989574,0.008409717984342925,27.73793103448282,0.7072302558398069,0.9511806458395474
RI,Rhode Island,synthetic_opioid_deaths,60,89.26080830552462,12.769126608451208,2.741792632431975e-12,-3.481201334816431,0.3805052147376517,5.752015298554672e-20,85.42528735632206,4.415572858731897,0.9554169840423684
SC,South Carolina,synthetic_opioid_deaths,60,29.381831664812765,25.78953458002708,0.25458104069805776,1.9281423804227136,0.8152665283710699,0.018027859138398526,102.65747126436813,5.430700778642917,0.983003127169181
SD,South Dakota,synthetic_opioid_deaths,40,-11.020672542140828,4.628077962608497,0.01725337143617088,0.2781458808155156,0.13051268022612122,0.03307439996227328,11.692307692307647,0.02797202797202686,0.4750672108562233
TN,Tennessee,synthetic_opioid_deaths,57,-316.4191769627808,34.6204835713894,6.265353305770302e-20,9.981072851261876,1.0431670127963002,1.089422539244817e-21,101.95258445258509,12.33394383394386,0.996868729766965
UT,Utah,synthetic_opioid_deaths,60,17.684538375973222,8.11394531738163,0.02929276538157619,-0.6883203559510471,0.2573147921597909,0.007472640288606219,61.172413793103495,0.8211345939933192,0.6310480382125498
VA,Virginia,synthetic_opioid_deaths,60,457.10952910641487,40.10548640318938,4.294064234677162e-30,-15.028698553948677,1.8534323228929903,5.121603894488578e-16,71.64137931034585,21.88765294771956,0.9821507363074183
VT,Vermont,synthetic_opioid_deaths,60,38.32465702632558,11.520298522788272,0.0008787874191591279,-0.9408231368186747,0.297117013263778,0.0015428157120228906,14.200000000000088,1.6838709677419246,0.9485406271694705
WA,Washington,synthetic_opioid_deaths,60,-197.4246199480906,7.119570685666071,3.0496331815104745e-169,6.151279199110075,0.2775069363475654,7.277468307518314e-109,56.9747126436782,1.4424916573971431,0.9935661451680097
WI,Wisconsin,synthetic_opioid_deaths,49,147.90571316642908,44.815764976950994,0.0009657965154883499,-2.120947500337345,1.1806294087411762,0.0724221973957463,54.07419043015932,8.951425809569823,0.972459007701262
WV,West Virginia,synthetic_opioid_deaths,60,697.1947348906192,34.995174752758054,2.591972498517089e-88,-19.589098998887444,1.9321733328419695,3.7325444426455954e-24,57.022988505747946,15.878086763069907,0.9700451930391017
YC,New York City,synthetic_opioid_deaths,60,705.864812754913,72.10336208370818,1.2475880510909393e-22,-21.107230255839603,2.369811734427958,5.256845859826518e-19,-107.5862068965505,26.624916573970893,0.9815762218089564
